grid_size,grid_area,num_searches_factor,random_seed,avg_time_ms,std_time_ms,run1_time_ms,run2_time_ms,run3_time_ms
50,2500,0.1,3,29.0,4.36,34.0,26.0,27.0
50,2500,0.1,60,26.67,0.58,26.0,27.0,27.0
50,2500,0.1,141,27.33,1.53,29.0,27.0,26.0
50,2500,0.2,3,39.67,0.58,40.0,39.0,40.0
50,2500,0.2,60,36.67,1.53,38.0,35.0,37.0
50,2500,0.2,141,36.0,3.0,39.0,36.0,33.0
50,2500,0.4,3,46.67,1.53,48.0,47.0,45.0
50,2500,0.4,60,48.0,1.0,48.0,47.0,49.0
50,2500,0.4,141,46.0,2.65,47.0,43.0,48.0
75,5625,0.1,3,53.0,1.0,54.0,53.0,52.0
75,5625,0.1,60,49.33,1.53,48.0,49.0,51.0
75,5625,0.1,141,52.33,1.53,54.0,51.0,52.0
75,5625,0.2,3,74.67,4.73,71.0,80.0,73.0
75,5625,0.2,60,77.33,3.21,76.0,75.0,81.0
75,5625,0.2,141,75.33,3.51,79.0,75.0,72.0
75,5625,0.4,3,100.67,1.53,102.0,99.0,101.0
75,5625,0.4,60,97.33,1.15,98.0,98.0,96.0
75,5625,0.4,141,97.0,2.65,100.0,95.0,96.0
100,10000,0.1,3,88.67,0.58,88.0,89.0,89.0
100,10000,0.1,60,87.67,1.53,88.0,89.0,86.0
100,10000,0.1,141,85.33,4.51,90.0,81.0,85.0
100,10000,0.2,3,132.0,2.65,133.0,134.0,129.0
100,10000,0.2,60,129.33,4.04,125.0,133.0,130.0
100,10000,0.2,141,129.67,4.04,134.0,126.0,129.0
100,10000,0.4,3,183.67,4.04,186.0,186.0,179.0
100,10000,0.4,60,179.0,3.46,181.0,175.0,181.0
100,10000,0.4,141,181.67,2.89,180.0,180.0,185.0
150,22500,0.1,3,193.33,2.31,192.0,196.0,192.0
150,22500,0.1,60,191.67,3.21,194.0,188.0,193.0
150,22500,0.1,141,189.0,2.65,191.0,190.0,186.0
150,22500,0.2,3,305.0,5.2,302.0,311.0,302.0
150,22500,0.2,60,313.0,9.0,313.0,322.0,304.0
150,22500,0.2,141,298.0,1.0,297.0,299.0,298.0
150,22500,0.4,3,409.0,12.12,402.0,402.0,423.0
150,22500,0.4,60,416.33,11.02,405.0,427.0,417.0
150,22500,0.4,141,407.0,8.19,398.0,414.0,409.0
200,40000,0.1,3,347.67,2.08,347.0,346.0,350.0
200,40000,0.1,60,342.33,8.33,333.0,345.0,349.0
200,40000,0.1,141,344.67,1.53,345.0,343.0,346.0
200,40000,0.2,3,542.0,17.44,562.0,534.0,530.0
200,40000,0.2,60,1507.0,1692.21,531.0,529.0,3461.0
200,40000,0.2,141,527.33,2.31,526.0,526.0,530.0
200,40000,0.4,3,748.33,9.5,739.0,748.0,758.0
200,40000,0.4,60,750.0,8.72,756.0,754.0,740.0
200,40000,0.4,141,764.33,9.87,753.0,771.0,769.0
275,75625,0.1,3,668.0,2.65,671.0,666.0,667.0
275,75625,0.1,60,657.0,8.19,648.0,659.0,664.0
275,75625,0.1,141,664.0,9.64,653.0,668.0,671.0
275,75625,0.2,3,1045.33,19.66,1033.0,1068.0,1035.0
275,75625,0.2,60,1038.67,79.43,1108.0,1056.0,952.0
275,75625,0.2,141,967.0,33.65,955.0,1005.0,941.0
275,75625,0.4,3,1293.67,23.86,1321.0,1277.0,1283.0
275,75625,0.4,60,1302.33,6.03,1303.0,1308.0,1296.0
275,75625,0.4,141,1313.67,55.47,1375.0,1299.0,1267.0
