test_case,grid_size,num_searches_factor,random_seed,image_type,serial_image,parallel_image,serial_hash,parallel_hash,hash_match,total_pixels,different_pixels,percent_different,max_difference,avg_difference,error,diff_visualization
g10_f0.1_s3,10,0.1,3,search,q1/images/DungeonHunter_serial_g10_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s3_search.png,f264d18946c61960789bd9ef4b5df298,f264d18946c61960789bd9ef4b5df298,True,,,,,,,
g10_f0.1_s3,10,0.1,3,path,q1/images/DungeonHunter_serial_g10_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s3_path.png,96733aa5b5918590da8699ab60f5a666,96733aa5b5918590da8699ab60f5a666,True,,,,,,,
g10_f0.1_s60,10,0.1,60,search,q1/images/DungeonHunter_serial_g10_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s60_search.png,abf0a077053871067db6a2f5c7137a8a,abf0a077053871067db6a2f5c7137a8a,True,,,,,,,
g10_f0.1_s60,10,0.1,60,path,q1/images/DungeonHunter_serial_g10_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.1_s60_path.png,293c7e515c7797e9954e386cf46b0384,293c7e515c7797e9954e386cf46b0384,True,,,,,,,
g10_f0.4_s3,10,0.4,3,search,q1/images/DungeonHunter_serial_g10_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s3_search.png,2dde78d65899237dc5c47d104850d9be,2dde78d65899237dc5c47d104850d9be,True,,,,,,,
g10_f0.4_s3,10,0.4,3,path,q1/images/DungeonHunter_serial_g10_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s3_path.png,066e9c9f686e382fe7d86012954278c3,066e9c9f686e382fe7d86012954278c3,True,,,,,,,
g10_f0.4_s60,10,0.4,60,search,q1/images/DungeonHunter_serial_g10_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s60_search.png,b6b702d558330f9c4e404e13d83bb84c,b6b702d558330f9c4e404e13d83bb84c,True,,,,,,,
g10_f0.4_s60,10,0.4,60,path,q1/images/DungeonHunter_serial_g10_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g10_f0.4_s60_path.png,0467384e5112e34bf89a81fa3cd363d6,0467384e5112e34bf89a81fa3cd363d6,True,,,,,,,
g25_f0.1_s3,25,0.1,3,search,q1/images/DungeonHunter_serial_g25_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s3_search.png,a5191c589ab6e08e26e454d4138a29b6,a5191c589ab6e08e26e454d4138a29b6,True,,,,,,,
g25_f0.1_s3,25,0.1,3,path,q1/images/DungeonHunter_serial_g25_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s3_path.png,6b421b97afb48c738a05a93d16a4adb5,6b421b97afb48c738a05a93d16a4adb5,True,,,,,,,
g25_f0.1_s60,25,0.1,60,search,q1/images/DungeonHunter_serial_g25_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s60_search.png,802c57c314d41b8f2705c526929e2c3c,802c57c314d41b8f2705c526929e2c3c,True,,,,,,,
g25_f0.1_s60,25,0.1,60,path,q1/images/DungeonHunter_serial_g25_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g25_f0.1_s60_path.png,bb53f7b41dfb58cb65bf16b426dff109,bb53f7b41dfb58cb65bf16b426dff109,True,,,,,,,
g25_f0.4_s3,25,0.4,3,search,q1/images/DungeonHunter_serial_g25_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g25_f0.4_s3_search.png,d73ae02835a0e5fdad040b179a955c20,d73ae02835a0e5fdad040b179a955c20,True,,,,,,,
